"","idpunto","lat","lon","WGRU_CODE","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","elevation","slope","aspect","ele_cat","slope_cat","asp_cat"
"1",44,47.04631582,12.09586457,"Fs",0,0.079350806,0,NA,NA,NA,NA,NA,1956,35,121,7,4,4
"2",68,47.0433725,12.13737402,"Fs",0,1.245386467,0.028984973,NA,NA,NA,NA,NA,1925,31,315,7,4,8
"3",137,47.00881467,11.48785013,"Zi",0.986203941,0.530797564,0.720800535,NA,NA,NA,NA,NA,1908,18,105,7,2,3
"4",150,47.00541579,11.97800913,"Fi",0,0.804491012,0.027162868,NA,NA,NA,NA,NA,1501,34,231,6,4,6
"5",155,47.00302667,12.037457,"Fs",0,0.361524259,4.653554445,NA,NA,NA,NA,NA,1742,30,299,6,3,8
"6",186,46.99817592,12.00772374,"Fs",0,1.66090492,0,NA,NA,NA,NA,NA,1563,31,326,6,4,8
"7",236,46.98255626,11.98760972,"Fs",0,2.230083052,0.410569226,NA,NA,NA,NA,NA,1689,38,266,6,4,7
"8",289,46.97741005,11.89117183,"Fs",0.967111742,2.32114379,1.200442498,NA,NA,NA,NA,NA,1619,33,205,6,4,6
"9",295,46.98086542,11.96809253,"Fs",0,0.752693587,0,NA,NA,NA,NA,NA,1612,31,297,6,4,8
"10",326,46.97176583,11.46886764,"Fi",0.487061228,0.326102915,1.45e-05,NA,NA,NA,NA,NA,1443,34,113,5,4,4
"11",359,46.97221921,11.93453703,"Fi",0.443697974,0.723566739,0.745683334,NA,NA,NA,NA,NA,1006,12,298,4,2,8
"12",389,46.95832518,11.35405611,"FT",0,7.191429163,0,NA,NA,NA,NA,NA,1375,24,57,5,3,2
"13",431,46.95891487,11.90431073,"Ki",0,5.78962902,0,NA,NA,NA,NA,NA,1335,33,120,5,4,4
"14",434,46.95923487,11.94701284,"Fs",0,0.041001998,0,NA,NA,NA,NA,NA,1705,20,316,6,2,8
"15",464,46.95388725,11.36696336,"FT",0.425203519,1.279787796,0.015302787,NA,NA,NA,NA,NA,1307,28,7,5,3,1
"16",469,46.94960913,11.42907307,"Ki",4.368502774,0.042305431,0.16701717,0.047491031,8.762302767,33.38676958,9.334705359,6.907146199,1455,24,196,5,3,5
"17",621,46.9343435,11.41112689,"FT",0,2.651159838,0.051444953,NA,NA,NA,NA,NA,1601,27,334,6,3,8
"18",631,46.9364213,11.54305103,"Fs",0,4.99056221,0.435292038,NA,NA,NA,NA,NA,1702,39,244,6,4,6
"19",661,46.9299346,11.93076255,"Fi",1.317551091,0.507778181,3.542048741,NA,NA,NA,NA,NA,1172,27,66,4,3,2
"20",663,46.92924108,11.96334125,"Fi",4.569476654,0.214642396,0.059975959,NA,NA,NA,NA,NA,1577,37,173,6,4,5
"21",667,46.93390923,12.01836746,"Zi",0.715784438,0,0.000376992,2.447884666,19.73431769,14.54285495,8.396128413,10.19391484,2011,36,158,8,4,5
"22",703,46.92175423,11.41946665,"Fi",0,1.793752708,0.12816951,NA,NA,NA,NA,NA,1591,20,164,6,2,5
"23",859,46.90687109,11.3694225,"Fi",0,0.423031388,0.129591805,NA,NA,NA,NA,NA,1674,17,198,6,2,5
"24",948,46.89221127,11.45530608,"Fi",0,3.464456087,0.19406181,NA,NA,NA,NA,NA,996,29,295,4,3,8
"25",980,46.89474501,11.8797687,"Fi",2.5254921,0.098806009,2.949331374,NA,NA,NA,NA,NA,1238,32,178,5,4,5
"26",1022,46.88459775,11.34747431,"FT",0,0.320239987,0.598844095,NA,NA,NA,NA,NA,1508,17,52,6,2,2
"27",1111,46.87570047,11.38827429,"Fi",0.942680882,1.539948636,0.265012894,NA,NA,NA,NA,NA,1168,27,3,4,3,1
"28",1147,46.88243393,11.85244446,"Fs",0,3.30658818,0.222574167,1.225766728,22.11047563,16.15922984,21.78098852,41.64949401,1585,32,26,6,4,2
"29",1185,46.86817132,11.15974385,"Fs",0,0.498727593,0,NA,NA,NA,NA,NA,1621,36,275,6,4,7
"30",1256,46.86797211,12.0928099,"Fs",0,0.12018906,6.4e-05,NA,NA,NA,NA,NA,1795,29,110,6,3,3
"31",1308,46.85999683,11.5053413,"Fi",0.144900462,0.00719222,0.207361257,NA,NA,NA,NA,NA,925,8,16,4,1,1
"32",1316,46.86199678,11.60765552,"Zi",0.208041639,0.151486901,1.978130517,NA,NA,NA,NA,NA,2032,33,104,8,4,3
"33",1445,46.85272359,11.92308696,"Zi",2.830308612,0.187966751,0.230179997,NA,NA,NA,NA,NA,1791,31,11,6,4,1
"34",1452,46.85120927,12.00819755,"Zi",0,0.688293577,0.47014922,3.206697673,5.567052707,1.399867591,0,0,1816,33,314,7,4,8
"35",1469,46.84918279,12.23544925,"Fi",0,0.525036398,0.100050458,NA,NA,NA,NA,NA,1844,27,165,7,3,5
"36",1538,46.83836495,11.69347364,"FT",0,1.172898061,0.26904008,NA,NA,NA,NA,NA,1658,27,44,6,3,2
"37",1544,46.84645165,11.7736064,"Fi",0,0.240745597,0.31135913,NA,NA,NA,NA,NA,1579,14,150,6,2,4
"38",1574,46.84403946,12.16566492,"Fs",0.148906096,0.614679618,0.429389689,NA,NA,NA,NA,NA,2022,32,194,8,4,5
"39",1635,46.83296649,11.4785379,"FT",0.822246463,1.039109544,0.318747373,NA,NA,NA,NA,NA,1393,33,349,5,4,1
"40",1640,46.82910251,11.53917447,"Fi",0,0.206685969,0,NA,NA,NA,NA,NA,945,37,257,4,4,7
"41",1665,46.8338575,11.87180806,"Fi",0,2.052088798,0.336563126,NA,NA,NA,NA,NA,1578,29,298,6,3,8
"42",1727,46.8264032,11.16654034,"Fi",0,2.866640334,0.141379352,NA,NA,NA,NA,NA,1009,22,28,4,3,2
"43",1771,46.82067227,11.74421417,"Fi",0,0.12590007,0.309036326,NA,NA,NA,NA,NA,1075,30,166,4,3,5
"44",1775,46.82573352,11.7922897,"Fi",3.891436943,1.199876766,0.027922078,NA,NA,NA,NA,NA,1248,17,314,5,2,8
"45",1777,46.82811466,11.8148897,"Fi",3.437972867,2.130383478,0,NA,NA,NA,NA,NA,1240,17,153,5,2,4
"46",1790,46.82876629,11.99293595,"Fi",2.366032501,0.810389353,0.149563257,NA,NA,NA,NA,NA,1643,28,315,6,3,8
"47",1799,46.82219272,12.09843692,"Fs",0,0.692715612,0.187294477,NA,NA,NA,NA,NA,1444,38,307,5,4,8
"48",1805,46.82639598,12.1779177,"La",0.789971347,0.395758864,0.163100917,NA,NA,NA,NA,NA,1972,22,73,7,3,3
"49",1884,46.81762701,11.68280186,"Fi",0,0.162334935,2.283540711,NA,NA,NA,NA,NA,1216,40,124,5,4,4
"50",1922,46.81322588,12.18895275,"Fs",1.568435819,0.767873909,2.746632422,NA,NA,NA,NA,NA,1858,33,64,7,4,2
"51",1927,46.81433699,12.24674596,"Zi",0.210501908,8.979942085,0.26415057,NA,NA,NA,NA,NA,1928,33,266,7,4,7
"52",1997,46.80325552,11.63599959,"FT",0,0.310072813,0,NA,NA,NA,NA,NA,1577,12,85,6,2,3
"53",2004,46.80418291,11.72087017,"FT",0,3.079575469,0.667842868,0,5.950012595,10.91003136,26.23854706,22.804833,1126,34,360,4,4,1
"54",2007,46.80215523,11.75881595,"FT",0.254536549,0.29106437,0.430052043,NA,NA,NA,NA,NA,1152,32,20,4,4,1
"55",2024,46.80654951,11.9864239,"Ki",0,1.317106227,0.530001184,NA,NA,NA,NA,NA,1357,28,154,5,3,4
"56",2052,46.7985572,10.50606819,"Fs",0,1.597020598,0.8222507,NA,NA,NA,NA,NA,2019,16,78,8,2,3
"57",2060,46.80082071,10.60512468,"Zi",2.132621723,0.725002932,7.525815694,NA,NA,NA,NA,NA,2251,34,246,8,4,6
"58",2074,46.79826965,11.1080906,"Fs",4.266294878,0.774020841,0.697081854,NA,NA,NA,NA,NA,1795,28,352,6,3,1
"59",2132,46.79840799,11.87229879,"EK",0,0.607338532,0,NA,NA,NA,NA,NA,1052,17,188,4,2,5
"60",2149,46.79819026,12.09018753,"Fs",1.86183714,0.814060967,0.03861549,NA,NA,NA,NA,NA,1835,22,322,7,3,8
"61",2235,46.79296642,11.63998849,"Fi",1.237922785,0.293265078,0.10969639,NA,NA,NA,NA,NA,1442,17,137,5,2,4
"62",2243,46.78765653,11.73777455,"Fs",0,1.791702964,0.882346443,NA,NA,NA,NA,NA,1726,18,343,6,2,1
"63",2250,46.78860164,11.82745718,"FT",0,0,0.544781592,NA,NA,NA,NA,NA,1222,25,45,5,3,2
"64",2345,46.78010268,11.43373156,"Fs",0.176706245,1.229480985,0.05353396,0.289983115,15.72145631,126.1973583,0,0,1711,27,335,6,3,8
"65",2360,46.78342462,11.64000214,"Lh",0,0,0.0665766,NA,NA,NA,NA,NA,913,26,172,4,3,5
"66",2363,46.78321553,11.67027482,"Ei",10.62164651,0.092513993,0.662141419,NA,NA,NA,NA,NA,735,18,68,3,2,2
"67",2368,46.77989046,11.74033233,"Fs",0,1.98856631,0.128965785,NA,NA,NA,NA,NA,1826,20,161,7,2,5
"68",2387,46.78114949,11.98356945,"Fi",0,0.341814158,0.047216062,NA,NA,NA,NA,NA,1180,25,260,4,3,7
"69",2402,46.77946483,12.17759224,"Fi",0,1.799689362,0.130311613,NA,NA,NA,NA,NA,1436,24,157,5,3,4
"70",2465,46.77096329,11.2037625,"Ei",0.062725121,0.159806651,0.735710522,NA,NA,NA,NA,NA,799,16,55,3,2,2
"71",2482,46.7669246,11.42255728,"Fs",0.521440604,1.368762794,0.997057772,NA,NA,NA,NA,NA,1859,30,267,7,3,7
"72",2647,46.76490746,11.65786453,"Ei",4.091917476,0.285410594,0,NA,NA,NA,NA,NA,758,12,297,3,2,8
"73",2660,46.76276567,11.83145385,"Zi",0,2.85944598,1.077335689,NA,NA,NA,NA,NA,1810,35,15,7,4,1
"74",2667,46.75767469,11.91672801,"Fs",0,1.592966088,0.139253178,NA,NA,NA,NA,NA,1453,25,3,5,3,1
"75",2675,46.76313606,12.02039642,"Fi",0.184740934,1.047575384,0.00069905,NA,NA,NA,NA,NA,1036,7,301,4,1,8
"76",2773,46.75300175,11.38207063,"Fs",0,0.859704003,0.489805398,NA,NA,NA,NA,NA,1871,19,304,7,2,8
"77",2831,46.75683533,12.14730554,"FT",0,0.18302988,1.913613862,NA,NA,NA,NA,NA,1541,20,13,6,2,1
"78",2835,46.75433654,12.19872913,"Fs",2.94460197,1.478986562,0.134807558,NA,NA,NA,NA,NA,1772,11,166,6,2,5
"79",2916,46.74182361,11.30643903,"Fs",0.111608195,0.453392256,0.018330044,NA,NA,NA,NA,NA,1734,25,164,6,3,5
"80",2948,46.74202109,11.72545353,"FT",0,1.99665051,3.7095683,NA,NA,NA,NA,NA,1342,33,84,5,4,3
"81",2975,46.74344379,12.07365559,"Fs",0,5.643073358,8.8e-05,NA,NA,NA,NA,NA,1725,14,355,6,2,1
"82",3007,46.73081221,10.5185684,"Fs",0.195717328,0.33527713,0.251462356,NA,NA,NA,NA,NA,1931,30,100,7,3,3
"83",3028,46.73231122,10.8034772,"Zi",1.001505725,1.629866675,0.050749963,NA,NA,NA,NA,NA,1847,28,41,7,3,2
"84",3062,46.73199101,11.24672123,"Zi",0,0.832112481,2.725222863,NA,NA,NA,NA,NA,1916,18,299,7,2,8
"85",3114,46.73719045,11.92874381,"Fs",0,0,2.422475306,NA,NA,NA,NA,NA,1756,21,156,6,3,4
"86",3126,46.73217515,12.08163605,"Fs",0.219076773,1.414113246,0,NA,NA,NA,NA,NA,1934,24,21,7,3,1
"87",3204,46.72644987,11.12283488,"Fs",0,0.44380017,0,NA,NA,NA,NA,NA,1634,18,99,6,2,3
"88",3211,46.72562908,11.22096493,"Ftb",0.981183449,0.915217191,0.33819701,NA,NA,NA,NA,NA,1164,36,288,4,4,7
"89",3228,46.7242784,11.43324134,"Fs",0,0.395058258,0.031568717,NA,NA,NA,NA,NA,1557,20,313,6,2,8
"90",3266,46.72732756,11.93495151,"Fs",0.69145705,0.283508701,0.049078225,NA,NA,NA,NA,NA,1468,20,252,5,2,7
"91",3283,46.72710982,12.15624124,"FT",0.726754434,2.196334653,0.110473911,NA,NA,NA,NA,NA,1548,20,351,6,2,1
"92",3434,46.71312524,12.17210811,"Fs",0.459777544,0.318037992,1.033144828,NA,NA,NA,NA,NA,1665,30,35,6,3,2
"93",3485,46.71177537,10.87506418,"Fs",0,0.180722967,0.642420735,NA,NA,NA,NA,NA,1536,41,10,6,5,1
"94",3486,46.70411589,10.89033542,"Fs",1.120553278,1.912324748,0,NA,NA,NA,NA,NA,1685,18,71,6,2,3
"95",3519,46.70990898,11.31480846,"Fs",0,0,0,NA,NA,NA,NA,NA,1850,23,323,7,3,8
"96",3582,46.70414488,12.14487724,"FT",0.695277544,0.492116237,0.188111334,NA,NA,NA,NA,NA,1516,16,75,6,2,3
"97",3587,46.71135276,12.21478506,"FT",0.441747485,0.078829374,0,NA,NA,NA,NA,NA,1328,18,112,5,2,3
"98",3609,46.70014554,10.4913812,"La",0,0,9.208768149,NA,NA,NA,NA,NA,1834,31,211,7,4,6
"99",3614,46.7030753,10.5605973,"Fs",0,0.963541742,0.466398759,NA,NA,NA,NA,NA,1782,23,265,6,3,7
"100",3652,46.69939382,11.05992722,"Fi",0.098473639,1.713039988,0.285909857,NA,NA,NA,NA,NA,1458,36,179,5,4,5
"101",3654,46.69938595,11.0921053,"EK",0,1.315875315,0.691568311,NA,NA,NA,NA,NA,1189,30,173,4,3,5
"102",3694,46.70305826,11.61144991,"FT",0,0.969847493,0.038937143,NA,NA,NA,NA,NA,1224,28,52,5,3,2
"103",3695,46.70023943,11.62708282,"Ei",0,0.122068509,0,NA,NA,NA,NA,NA,936,21,137,4,3,4
"104",3775,46.69145808,10.63505676,"Fs",0,10.2076469,0.913020832,NA,NA,NA,NA,NA,1912,25,287,7,3,7
"105",3844,46.6920775,11.53835503,"Fi",1.070124677,0.808547964,0.030642583,NA,NA,NA,NA,NA,1551,21,189,6,3,5
"106",3920,46.6798347,10.46998659,"Zi",0,0.017638618,0.13936438,NA,NA,NA,NA,NA,2041,33,31,8,4,2
"107",3963,46.67885183,11.03697604,"FT",1.655490388,1.862821961,0.154993051,NA,NA,NA,NA,NA,1506,35,80,6,4,3
"108",3987,46.67850882,11.34707596,"FT",0,0.552871102,0,NA,NA,NA,NA,NA,1299,27,22,5,3,1
"109",4005,46.67898442,11.58454119,"FT",0,1.249838854,0,NA,NA,NA,NA,NA,1345,23,101,5,3,3
"110",4030,46.68291051,11.91071118,"Fi",1.172348714,0.383241793,2.264882375,NA,NA,NA,NA,NA,1402,36,322,5,4,8
"111",4054,46.68175868,12.22563197,"FT",0.375374342,0.046236595,0.279049576,NA,NA,NA,NA,NA,1313,9,284,5,1,7
"112",4101,46.67600774,10.76036381,"Zi",0,0.308236531,0.418515869,NA,NA,NA,NA,NA,2121,31,339,8,4,1
"113",4123,46.67060042,11.04980116,"Ei",1.086756376,0.043471622,0.351754452,NA,NA,NA,NA,NA,612,39,118,3,4,4
"114",4127,46.67481166,11.09689127,"MH",17.58791437,0.04188469,0.485106559,0.304593361,4.955910507,8.036533466,36.74625887,32.59998254,699,24,34,3,3,2
"115",4132,46.6741667,11.16366933,"MH",1.831823414,0.163052709,0.11655118,0.497039316,4.222227497,4.339746878,39.40295833,41.43396052,423,25,227,2,3,6
"116",4136,46.66977529,11.21134266,"Bu",0.72643577,0.0117153,1.191246499,NA,NA,NA,NA,NA,698,30,316,3,3,8
"117",4244,46.66202203,10.49011719,"La",0,0.063623304,0,NA,NA,NA,NA,NA,1163,21,120,4,3,4
"118",4266,46.66662315,10.77047133,"Zi",0,1.737919927,0.960696689,NA,NA,NA,NA,NA,1854,39,91,7,4,3
"119",4303,46.66208126,11.26155098,"Fi",5.292768969,0.626972221,0.336025444,NA,NA,NA,NA,NA,1734,25,183,6,3,5
"120",4308,46.66205943,11.31701461,"Fi",0,0.530848429,0,NA,NA,NA,NA,NA,1664,29,216,6,3,6
"121",4329,46.65932163,11.59706253,"MH",1.054084452,0.088414846,0.077737322,1.330884775,0.555813002,1.146189802,29.32069124,26.90671888,671,27,176,3,3,5
"122",4337,46.66132165,11.70247109,"FT",0.76977563,0.941221339,0.716932469,NA,NA,NA,NA,NA,1579,34,327,6,4,8
"123",4403,46.65323536,10.42240359,"Fs",0,0.625434437,0,NA,NA,NA,NA,NA,2017,33,75,8,4,3
"124",4422,46.64994484,10.67054999,"Fs",0,1.024497657,0.073695728,NA,NA,NA,NA,NA,1778,20,263,6,2,7
"125",4431,46.65730306,10.7816943,"La",0,0.836580958,0.178019066,NA,NA,NA,NA,NA,1811,33,237,7,4,6
"126",4473,46.65182508,11.33295874,"FT",0,1.017834465,0.028702378,NA,NA,NA,NA,NA,1443,26,13,5,3,1
"127",4498,46.65512703,11.66351113,"FT",0,1.545829539,1.223422875,NA,NA,NA,NA,NA,1402,20,43,5,2,2
"128",4502,46.65744765,11.70748922,"Fs",0.95409538,1.010531402,0.471838835,NA,NA,NA,NA,NA,1810,6,150,7,1,4
